iter	Passed	Remaining
805	6421	1545
806	6429	1537
807	6436	1529
808	6445	1521
809	6451	1513
810	6459	1505
811	6466	1497
812	6473	1489
813	6481	1480
814	6487	1472
815	6495	1464
816	6502	1456
817	6510	1448
818	6517	1440
819	6526	1432
820	6533	1424
821	6540	1416
822	6547	1408
823	6556	1400
824	6563	1392
825	6570	1384
826	6578	1376
827	6586	1368
828	6594	1360
829	6601	1352
830	6610	1344
831	6616	1336
832	6624	1328
833	6631	1319
834	6640	1312
835	6648	1304
836	6656	1296
837	6663	1288
838	6671	1280
839	6678	1272
840	6686	1264
841	6693	1256
842	6700	1247
843	6707	1239
844	6714	1231
845	6722	1223
846	6729	1215
847	6737	1207
848	6745	1199
849	6753	1191
850	6761	1183
851	6769	1175
852	6776	1167
853	6783	1159
854	6790	1151
855	6797	1143
856	6804	1135
857	6811	1127
858	6819	1119
859	6826	1111
860	6834	1103
861	6841	1095
862	6848	1087
863	6856	1079
864	6863	1071
865	6871	1063
866	6878	1055
867	6886	1047
868	6893	1039
869	6901	1031
870	6908	1023
871	6915	1015
872	6922	1007
873	6932	999
874	6939	991
875	6945	983
876	6953	975
877	6960	967
878	6968	959
879	6975	951
880	6983	943
881	6990	935
882	6999	927
883	7006	919
884	7015	911
885	7022	903
886	7030	895
887	7037	887
888	7044	879
889	7053	871
890	7060	863
891	7068	855
892	7075	847
893	7083	839
894	7090	831
895	7099	824
896	7106	816
897	7114	808
898	7121	800
899	7129	792
900	7137	784
901	7145	776
902	7153	768
903	7162	760
904	7170	752
905	7178	744
906	7185	736
907	7194	728
908	7202	721
909	7210	713
910	7218	705
911	7225	697
912	7234	689
913	7242	681
914	7250	673
915	7258	665
916	7266	657
917	7274	649
918	7282	641
919	7290	633
920	7298	626
921	7307	618
922	7328	611
923	7345	604
924	7356	596
925	7364	588
926	7371	580
927	7378	572
928	7386	564
929	7392	556
930	7399	548
931	7408	540
932	7415	532
933	7424	524
934	7430	516
935	7438	508
936	7444	500
937	7453	492
938	7460	484
939	7467	476
940	7475	468
941	7481	460
942	7490	452
943	7497	444
944	7504	436
945	7511	428
946	7520	420
947	7527	412
948	7535	404
949	7543	397
950	7551	389
951	7558	381
952	7565	373
953	7572	365
954	7580	357
955	7590	349
956	7597	341
957	7605	333
958	7612	325
959	7621	317
960	7630	309
961	7638	301
962	7646	293
963	7655	285
964	7663	277
965	7671	270
966	7679	262
967	7687	254
968	7695	246
969	7704	238
970	7711	230
971	7719	222
972	7727	214
973	7736	206
974	7744	198
975	7754	190
976	7761	182
977	7768	174
978	7776	166
979	7783	158
980	7790	150
981	7798	142
982	7805	134
983	7814	127
984	7821	119
985	7830	111
986	7837	103
987	7846	95
988	7853	87
989	7861	79
990	7868	71
991	7876	63
992	7884	55
993	7893	47
994	7900	39
995	7908	31
996	7915	23
997	7922	15
998	7930	7
999	7937	0
